model,params,learning_rate,weight_decay,best_epoch,best_val,best_train_at_best,duration_sec,status
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': [64, 64], 'mlp_hidden_size': 64, 'pooling': 'last'}",0.001,0.0,56,0.827610082924366,0.7839849591255188,16.32727850001538,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': [64, 64], 'mlp_hidden_size': 64, 'pooling': 'static_softmax'}",0.001,0.0,40,0.8226179108023643,0.7879180759191513,13.410628599987833,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': [64, 64], 'mlp_hidden_size': [32, 32], 'pooling': 'last'}",0.001,0.0,20,0.8184531405568123,0.7869024246931076,9.170526300003983,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': [64, 64], 'mlp_hidden_size': [32, 32], 'pooling': 'static_softmax'}",0.001,0.0,22,0.8233731836080551,0.7902823388576508,9.757067099999404,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': [64, 64], 'mlp_hidden_size': [64, 64], 'pooling': 'last'}",0.001,0.0,18,0.8200046941637993,0.7874844342470169,8.212892500014277,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': [64, 64], 'mlp_hidden_size': [64, 64], 'pooling': 'static_softmax'}",0.001,0.0,32,0.8245085403323174,0.789462473988533,11.355210399982752,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 64, 'mlp_hidden_size': 64, 'pooling': 'last'}",0.001,0.0001,18,0.8217739313840866,0.7882625132799148,6.940099400002509,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 64, 'mlp_hidden_size': 64, 'pooling': 'static_softmax'}",0.001,0.0001,24,0.8208107650279999,0.7890471875667572,8.25305619998835,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 64, 'mlp_hidden_size': [32, 32], 'pooling': 'last'}",0.001,0.0001,16,0.8218130841851234,0.7886607259511947,7.574609200004488,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 64, 'mlp_hidden_size': [32, 32], 'pooling': 'static_softmax'}",0.001,0.0001,60,0.8211787417531013,0.787274432182312,17.674355600000126,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 64, 'mlp_hidden_size': [64, 64], 'pooling': 'last'}",0.001,0.0001,44,0.8276381567120552,0.7850359112024308,13.64562450000085,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 64, 'mlp_hidden_size': [64, 64], 'pooling': 'static_softmax'}",0.001,0.0001,30,0.8238653019070625,0.7897359132766724,11.10020610000356,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 128, 'mlp_hidden_size': 64, 'pooling': 'last'}",0.001,0.0001,40,0.8192040398716927,0.783804115653038,11.69176270000753,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 128, 'mlp_hidden_size': 64, 'pooling': 'static_softmax'}",0.001,0.0001,52,0.8203746303915977,0.786895552277565,14.551897999976063,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 128, 'mlp_hidden_size': [32, 32], 'pooling': 'last'}",0.001,0.0001,30,0.8188813924789429,0.7845403015613556,10.18739799998002,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 128, 'mlp_hidden_size': [32, 32], 'pooling': 'static_softmax'}",0.001,0.0001,44,0.8204820603132248,0.7879336893558502,13.650403699983144,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 128, 'mlp_hidden_size': [64, 64], 'pooling': 'last'}",0.001,0.0001,22,0.8216437473893166,0.7862980902194977,8.767868299997644,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 128, 'mlp_hidden_size': [64, 64], 'pooling': 'static_softmax'}",0.001,0.0001,30,0.8233591765165329,0.7896027475595474,10.541493300028378,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': [64, 64], 'mlp_hidden_size': 64, 'pooling': 'last'}",0.001,0.0001,12,0.8199784681200981,0.7906628847122192,7.0327976999979,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': [64, 64], 'mlp_hidden_size': 64, 'pooling': 'static_softmax'}",0.001,0.0001,32,0.8232019916176796,0.7893203437328339,11.827499700011684,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': [64, 64], 'mlp_hidden_size': [32, 32], 'pooling': 'last'}",0.001,0.0001,14,0.8182690665125847,0.7886975526809692,7.725221700005932,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': [64, 64], 'mlp_hidden_size': [32, 32], 'pooling': 'static_softmax'}",0.001,0.0001,54,0.8222482949495316,0.7873781532049179,17.55700039997464,ok
