model,params,learning_rate,weight_decay,best_epoch,best_val,best_train_at_best,duration_sec,status
sequential_mlp,"{'input_size': 8, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': [64, 64], 'mlp_hidden_size': 64, 'pooling': 'last'}",0.001,0.0,84,0.016174858266657,0.0149293449827499,33.09706189999997,ok
sequential_mlp,"{'input_size': 8, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': [64, 64], 'mlp_hidden_size': 64, 'pooling': 'static_softmax'}",0.001,0.0,86,0.0153819190507585,0.0147231309374253,34.70744119999995,ok
sequential_mlp,"{'input_size': 8, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': [64, 64], 'mlp_hidden_size': [32, 32], 'pooling': 'last'}",0.001,0.0,94,0.0150067176331173,0.0150142715072199,37.95876280000016,ok
sequential_mlp,"{'input_size': 8, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': [64, 64], 'mlp_hidden_size': [32, 32], 'pooling': 'static_softmax'}",0.001,0.0,104,0.0135575387288223,0.01396981299284,42.93129789999989,ok
sequential_mlp,"{'input_size': 8, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': [64, 64], 'mlp_hidden_size': [64, 64], 'pooling': 'last'}",0.001,0.0,72,0.0145430398088964,0.0153848089788469,30.670823700000028,ok
sequential_mlp,"{'input_size': 8, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': [64, 64], 'mlp_hidden_size': [64, 64], 'pooling': 'static_softmax'}",0.001,0.0,102,0.0149958801709792,0.0143997954775489,42.19428230000017,ok
sequential_mlp,"{'input_size': 8, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 64, 'mlp_hidden_size': 64, 'pooling': 'last'}",0.001,0.0001,66,0.0176664032042026,0.0163585970538758,24.413054399999965,ok
sequential_mlp,"{'input_size': 8, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 64, 'mlp_hidden_size': 64, 'pooling': 'static_softmax'}",0.001,0.0001,112,0.0133174887265671,0.013138958057689,38.31657059999998,ok
sequential_mlp,"{'input_size': 8, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 64, 'mlp_hidden_size': [32, 32], 'pooling': 'last'}",0.001,0.0001,102,0.0141847192902456,0.0142406636188107,34.690244899999925,ok
sequential_mlp,"{'input_size': 8, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 64, 'mlp_hidden_size': [32, 32], 'pooling': 'static_softmax'}",0.001,0.0001,88,0.0131585286422209,0.0137965333978495,30.59127410000019,ok
sequential_mlp,"{'input_size': 8, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 64, 'mlp_hidden_size': [64, 64], 'pooling': 'last'}",0.001,0.0001,92,0.0158718869259411,0.0153417576014274,31.32194770000001,ok
sequential_mlp,"{'input_size': 8, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 64, 'mlp_hidden_size': [64, 64], 'pooling': 'static_softmax'}",0.001,0.0001,100,0.014244062106379,0.0137240970507264,34.05093099999999,ok
sequential_mlp,"{'input_size': 8, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 128, 'mlp_hidden_size': 64, 'pooling': 'last'}",0.001,0.0001,120,0.0164672948250716,0.0128380992419777,36.40026409999996,ok
sequential_mlp,"{'input_size': 8, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 128, 'mlp_hidden_size': 64, 'pooling': 'static_softmax'}",0.001,0.0001,86,0.0147748783823441,0.013729941685714,29.19373530000007,ok
sequential_mlp,"{'input_size': 8, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 128, 'mlp_hidden_size': [32, 32], 'pooling': 'last'}",0.001,0.0001,106,0.0156864692795683,0.0136748548416841,35.40402990000007,ok
sequential_mlp,"{'input_size': 8, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 128, 'mlp_hidden_size': [32, 32], 'pooling': 'static_softmax'}",0.001,0.0001,72,0.0139637973836877,0.0146255486554676,26.44366459999992,ok
sequential_mlp,"{'input_size': 8, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 128, 'mlp_hidden_size': [64, 64], 'pooling': 'last'}",0.001,0.0001,104,0.0167121109129353,0.013524730254205,34.666460800000095,ok
sequential_mlp,"{'input_size': 8, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 128, 'mlp_hidden_size': [64, 64], 'pooling': 'static_softmax'}",0.001,0.0001,120,0.0127043763852932,0.012741178063856,39.83514479999985,ok
sequential_mlp,"{'input_size': 8, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': [64, 64], 'mlp_hidden_size': 64, 'pooling': 'last'}",0.001,0.0001,78,0.0159641108898953,0.0156093498301361,28.186491299999943,ok
sequential_mlp,"{'input_size': 8, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': [64, 64], 'mlp_hidden_size': 64, 'pooling': 'static_softmax'}",0.001,0.0001,74,0.014221338766881,0.0151249710470438,28.407457299999805,ok
