seed,model_name,best_epoch,best_val_loss,best_train_at_best,duration_sec,mse,rmse,mae,upperquantile_mse,upperquantile_rmse,upperquantile_count,status,energy_loss,s1,s2,picp_80,sharpness_80,q10_mse,q10_rmse,q50_mse,q50_rmse,q90_mse,q90_rmse
2,mlp,110,0.016375220211392098,0.009243384536896502,38.257415999891236,124.13668060302734,11.141664175652906,7.209247589111328,775.69873046875,27.851368556477617,166,ok,,,,,,,,,,,
2,sequential_mlp,106,0.014651001134718006,0.015404310347812792,52.59194070007652,128.67654418945312,11.343568406346089,6.859702110290527,1927.0738525390625,43.898449318160004,166,ok,,,,,,,,,,,
2,engression,112,0.05522515523162755,0.0504342362044319,55.45160619984381,109.11024755258867,10.445585074690104,6.610423526938525,527.3468193276717,22.96403316770971,166,ok,4.905572414398193,9.234885215759277,8.658625602722168,0.8025813312708464,19.184836261994633,,,,,,
2,h_engression,94,0.05510293726216663,0.051731578645206264,47.56162739987485,106.94573977894566,10.341457333419969,6.462730171786684,698.5528216488152,26.430149860506187,166,ok,4.798088550567627,9.08162784576416,8.567078590393066,0.8047082708947648,19.050161719932653,,,,,,
2,sequential_engression,156,0.053513809022578324,0.0562770399114778,116.89793659979478,106.10819065846104,10.300883003823557,6.241773703081828,1252.856150339059,35.395708077944406,166,ok,4.699289798736572,8.967890739440918,8.537201881408691,0.8230772949195146,18.983916689341978,,,,,,
2,h_sequential_engression,116,0.05269924449649724,0.05584447194010981,97.24405889981426,109.62528288626864,10.470209304797523,6.387650211069608,1341.5695152809817,36.62744210671804,166,ok,4.745810508728027,8.92155647277832,8.351491928100586,0.8080920384782714,18.57111400899942,,,,,,
3,mlp,106,0.016345384446057407,0.00934199368461005,31.94176259986125,125.67729949951172,11.210588722253249,7.3151750564575195,762.9788208007812,27.622071261959725,166,ok,,,,,,,,,,,
3,sequential_mlp,68,0.0157313799824227,0.01816789274133982,36.55205860012211,132.13063049316406,11.49480884978798,7.0789899826049805,1961.02392578125,44.28344979539478,166,ok,,,,,,,,,,,
3,engression,116,0.05495615269650112,0.05264803046180356,57.260779100004584,106.16288272466215,10.303537388909799,6.488301092334495,599.4517701337722,24.483704175099245,166,ok,4.816490650177002,9.176239967346191,8.719498634338379,0.8139894619809542,19.3466985825229,,,,,,
3,h_engression,104,0.05545646731149067,0.05182347194321694,51.83150430000387,103.80677387099107,10.188560932290246,6.406332286721643,591.6409692172853,24.323670965076083,166,ok,4.747110843658447,8.769082069396973,8.04394245147705,0.7878861120510465,17.88373580250155,,,,,,
