seed,model_name,best_epoch,best_val_loss,best_train_at_best,duration_sec,mse,rmse,mae,upperquantile_mse,upperquantile_rmse,upperquantile_count,status,energy_loss,s1,s2,picp_80,sharpness_80,q10_mse,q10_rmse,q50_mse,q50_rmse,q90_mse,q90_rmse
2,mlp,12,0.8260046020150185,0.7815225750207901,5.453853599959984,0.015251579694449902,0.12349728618253075,0.09586493670940399,0.1966962367296219,0.44350449459912117,56,ok,,,,,,,,,,,
2,sequential_mlp,54,0.8180712759494781,0.7874627441167832,17.850133700063452,0.015143181197345257,0.12305763364109217,0.09519175440073013,0.18809401988983154,0.433698074574734,56,ok,,,,,,,,,,,
2,engression,16,0.4962748661637306,0.485355968773365,11.987885599955916,0.015392001938595697,0.12406450716702057,0.09607407348782161,0.19457310856582705,0.4411044191184521,56,ok,0.06815185397863388,0.13293953239917755,0.12957535684108734,0.7759656652360515,0.2882379308817024,0.0009762195627919868,0.031244512522873306,0.00030595367058678123,0.017491531396272346,0.002316817908076624,0.048133334686853185
2,h_engression,18,0.4983978271484375,0.4940956816077232,11.837350999936461,0.015383640104199106,0.1240308030458527,0.09610955655125974,0.1906719626277367,0.43666000804714955,56,ok,0.06803569197654724,0.13414089381694794,0.1322104036808014,0.7785407725321889,0.29433922687758596,0.0008305109780334576,0.028818587370540175,0.00031172458680882943,0.01765572391064239,0.0015010078227187496,0.03874284221270749
2,sequential_engression,68,0.4935002848505974,0.4899101689457893,30.743233300046995,0.015314176721529895,0.12375046150027036,0.09588057042721145,0.18689460347247408,0.4323130850118628,56,ok,0.06765075027942657,0.13516253232955933,0.1350235641002655,0.7886981402002862,0.3002063102921728,0.00046728122229875406,0.02161668851370982,0.00029236903735162435,0.01709880221979377,0.00097661322154882,0.031250811534243715
2,h_sequential_engression,56,0.49327852949500084,0.48970204442739484,35.483841500012204,0.015255770610144185,0.12351425265994279,0.09594293086236111,0.16610306635724695,0.4075574393349322,56,ok,0.06747804582118988,0.13321377336978912,0.1314714550971985,0.776824034334764,0.29477926338394056,0.0005959644619799789,0.024412383373607318,0.00041646528483973603,0.020407481099825524,0.0008688798784293949,0.02947676845295961
3,mlp,14,0.8274540975689888,0.7836875349283219,5.277181299868971,0.015289494767785072,0.12365069659239722,0.09599239379167557,0.19376100599765778,0.440182923337171,56,ok,,,,,,,,,,,
3,sequential_mlp,58,0.8186759501695633,0.7874852687120437,18.149464699905366,0.015133731067180634,0.12301923047711132,0.09519367665052414,0.19005657732486725,0.4359547881660061,56,ok,,,,,,,,,,,
3,engression,14,0.4955439530313015,0.48390058279037473,11.014090599957854,0.015352350416884507,0.12390460208113542,0.09592762135122017,0.19341146897423536,0.43978570801497785,56,ok,0.06802878528833389,0.1339084655046463,0.13175936043262482,0.7832618025751072,0.2932255209209666,0.0009740798768532518,0.031210252752152647,0.0003016878084382204,0.01736916257158705,0.002252180188576724,0.04745714054361813
3,h_engression,36,0.49551359936594963,0.4907293885946274,15.497199400095269,0.015243205544921546,0.12346337734292524,0.09577058793129074,0.18244264413939185,0.4271330520334289,56,ok,0.06772046536207199,0.13390082120895386,0.13236071169376373,0.7775393419170243,0.29482428520096243,0.0009198266018226235,0.030328643257201988,0.00035975101733848395,0.018967103556908314,0.0013036188865055422,0.03610566280385311
